Subject	TrialLearn	TrialTest	Condition	Correct	SRPE	RTlearn	RTrecog	RTcertain	Hit	Certainty	LearnChosenInOptions	TestChosenInOptions	TestChosenAltOption	TestChosenNoOption	Rechosen
5	8	2	1	1	0	14214	59	8	1	4	1	1	0	0	1
5	45	40	2	1	0.5	2536	30	35	1	4	1	1	0	0	1
5	12	9	2	1	0.5	4287	19	27	1	4	1	1	0	0	1
5	11	13	4	0	-0.25	2199	52	4	1	3	1	1	0	0	0
5	43	42	1	1	0	5457	58	49	1	2	1	1	0	0	1
5	34	26	1	1	0	14708	41	22	1	4	1	1	0	0	1
5	22	24	2	0	-0.5	1493	55	55	0	2	1	0	0	1	0
5	38	35	1	1	0	8659	49	51	0	4	0	1	1	0	0
5	46	38	2	1	0.5	8513	33	58	1	4	1	1	0	0	1
5	40	33	2	0	-0.5	15490	3	42	1	2	0	1	0	0	0
5	1	34	4	0	-0.25	1756	51	6	1	4	1	1	0	0	0
5	49	44	4	0	-0.25	3059	15	37	1	4	1	1	0	0	0
5	3	60	1	1	0	4305	24	9	0	1	1	0	0	1	0
5	14	4	2	0	-0.5	2183	17	1	1	4	1	1	0	0	0
5	42	43	1	1	0	15712	23	44	1	4	1	1	0	0	1
5	30	22	2	0	-0.5	4609	34	33	1	4	1	1	0	0	0
5	52	51	1	1	0	11230	29	57	1	4	1	1	0	0	1
5	59	52	2	0	-0.5	4301	54	34	1	4	0	1	0	0	0
5	39	32	4	1	0.75	3260	53	24	1	4	1	1	0	0	1
5	37	28	2	1	0.5	12707	2	47	1	3	1	1	0	0	1
5	18	3	2	1	0.5	4348	6	13	0	2	1	0	0	1	0
5	15	7	2	0	-0.5	3967	22	36	1	4	1	1	0	0	0
5	21	21	1	1	0	27430	38	21	0	4	1	0	0	1	0
5	47	37	1	1	0	15695	35	52	1	3	1	1	0	0	1
5	2	12	4	0	-0.25	4800	43	15	0	4	1	1	1	0	1
5	44	36	1	1	0	15351	20	41	1	4	1	1	0	0	1
5	56	57	4	1	0.75	6600	48	10	1	3	1	1	0	0	1
5	25	16	4	0	-0.25	1400	60	7	0	3	1	1	1	0	1
5	58	50	4	0	-0.25	1632	42	45	1	3	1	1	0	0	0
5	10	59	4	0	-0.25	11440	44	48	1	4	1	1	0	0	0
5	50	41	1	1	0	19316	39	53	1	3	1	1	0	0	1
5	4	45	1	1	0	3277	1	11	1	2	1	1	0	0	1
5	53	54	2	1	0.5	3340	50	38	1	4	1	1	0	0	1
5	51	49	4	0	-0.25	1225	21	54	1	3	1	1	0	0	0
5	32	27	1	1	0	38314	47	50	1	4	1	1	0	0	1
5	24	15	2	1	0.5	6172	25	46	1	4	1	1	0	0	1
5	54	53	4	1	0.75	1226	56	59	0	3	1	1	1	0	0
5	41	39	4	0	-0.25	5291	32	32	1	4	1	1	0	0	0
5	35	29	2	0	-0.5	18430	12	12	0	2	1	1	1	0	1
5	19	8	1	1	0	14581	37	30	1	4	1	1	0	0	1
6	4	12	2	1	0.5	1603	56	32	1	3	1	1	0	0	1
6	45	44	1	1	0	820	29	48	1	3	1	1	0	0	1
6	35	25	4	0	-0.25	896	36	43	1	3	1	1	0	0	0
6	46	43	1	1	0	816	57	33	0	2	1	0	0	1	0
6	11	6	1	1	0	1303	8	54	1	4	1	1	0	0	1
6	27	21	1	1	0	997	3	16	0	1	1	0	0	1	0
6	25	19	2	1	0.5	1231	22	52	1	4	1	1	0	0	1
6	15	10	4	1	0.75	1077	15	4	1	4	1	1	0	0	1
6	14	4	4	0	-0.25	853	19	59	1	4	1	1	0	0	0
6	22	16	1	1	0	1085	38	42	1	3	1	1	0	0	1
6	42	39	2	1	0.5	1810	26	17	1	3	1	1	0	0	1
6	32	31	4	1	0.75	1131	1	57	1	3	1	1	0	0	1
6	16	7	2	1	0.5	1517	53	15	1	2	1	1	0	0	1
6	50	37	2	0	-0.5	734	28	6	1	3	1	1	0	0	0
6	43	41	1	1	0	1145	59	36	0	1	1	0	0	1	0
6	23	20	2	1	0.5	1766	4	45	0	1	1	0	0	1	0
6	37	27	1	1	0	728	13	40	1	4	1	1	0	0	1
6	41	42	4	0	-0.25	873	47	50	1	2	1	1	0	0	0
6	31	28	2	0	-0.5	1587	45	47	0	2	1	0	0	1	0
6	48	38	1	1	0	1152	40	37	1	3	1	1	0	0	1
6	17	8	4	1	0.75	1000	18	49	1	3	1	1	0	0	1
6	2	45	1	1	0	2058	30	5	1	4	1	1	0	0	1
6	39	29	2	0	-0.5	1750	32	21	1	3	1	1	0	0	0
6	59	49	1	1	0	652	21	38	1	3	1	1	0	0	1
6	44	36	2	1	0.5	1930	11	20	1	4	1	1	0	0	1
6	29	17	1	1	0	1325	55	44	1	1	1	1	0	0	1
6	8	58	2	1	0.5	2197	50	31	1	1	1	1	0	0	1
6	51	57	4	0	-0.25	656	31	35	1	3	1	1	0	0	0
6	58	55	2	0	-0.5	1111	41	24	1	2	1	1	0	0	0
6	60	48	2	1	0.5	1175	52	11	1	3	1	1	0	0	1
6	55	53	4	0	-0.25	901	51	46	1	2	1	1	0	0	0
6	38	26	1	1	0	953	39	41	1	3	1	1	0	0	1
6	36	35	4	0	-0.25	722	49	12	1	3	1	1	0	0	0
6	19	5	1	1	0	1242	2	10	1	1	1	1	0	0	1
6	30	18	4	0	-0.25	1487	46	19	1	3	1	1	0	0	0
6	28	15	4	0	-0.25	1758	48	8	1	3	1	1	0	0	0
6	53	51	2	0	-0.5	1042	35	37	1	3	1	1	0	0	0
6	12	11	2	0	-0.5	1797	10	13	1	4	1	1	0	0	0
